osmid,oneway,lanes,ref,highway,maxspeed,length,geometry,name,bridge,width,access,junction,tunnel,service,comprimento_m,comprimento_km
259263598,True,2,RJ-104,trunk,60,34.031,"LINESTRING (-4789270.244040042 -2614327.305687699, -4789249.494086958 -2614296.7064472265)",,,,,,,,36.97126006116774,0.03697126006116774
259263598,True,2,RJ-104,trunk,60,71.999,"LINESTRING (-4789249.494086958 -2614296.7064472265, -4789209.185299341 -2614229.673411038)",,,,,,,,78.21909165810105,0.07821909165810105
259263598,True,2,RJ-104,trunk,60,272.51800000000003,"LINESTRING (-4789209.185299341 -2614229.673411038, -4789184.995573993 -2614178.3206610316, -4789159.770577379 -2614122.631315927, -4789142.749827237 -2614071.870823568, -4789112.292814555 -2613994.534458788, -4789096.463182964 -2613956.1684123348)",,,,,,,,296.05996751984526,0.29605996751984526
1040942965,True,2,RJ-104,trunk,60,102.011,"LINESTRING (-4786888.685985959 -2609703.0213162373, -4786897.112871413 -2609721.0762167503, -4786907.866334223 -2609742.5851240987, -4786916.226427982 -2609764.3718281547, -4786922.571638957 -2609792.8854018403, -4786924.430674453 -2609807.039553345)",,,,,,,,110.79429724859096,0.11079429724859097
31055509,True,3,,primary,,26.360999999999997,"LINESTRING (-4786926.078202917 -2609847.3765365677, -4786931.154371697 -2609854.030940611, -4786934.438296676 -2609859.8520367374, -4786937.243547844 -2609873.136703662)",Rua Jovelino Oliveira Viana,,,,,,,28.6306360773213,0.0286306360773213
"[74379657, 74379627, 202763374, 202763375, 202763379, 202763382, 202763383]",True,2,RJ-104,trunk,60,1191.486,"LINESTRING (-4786926.078202917 -2609847.3765365677, -4786924.58652174 -2609875.7453304273, -4786921.002034137 -2609908.594739919, -4786916.7162337415 -2609942.990074288, -4786890.400306118 -2610150.752466552, -4786876.195939093 -2610248.046505669, -4786854.57769398 -2610425.9574394547, -4786804.728826004 -2610801.4837277443, -4786801.199998146 -2610841.1951105776, -4786801.923574835 -2610927.9372785394, -4786805.096180323 -2610975.6927693426, -4786810.996113335 -2611025.272149724, -4786828.617988728 -2611112.4863263657, -4786833.516046322 -2611130.6877092165)",,viaduct,,,,,,1294.1300643725697,1.2941300643725697
"[952487025, 238904597, 516269694]",True,2,RJ-104,trunk,60,223.51200000000003,"LINESTRING (-4786833.516046322 -2611130.6877092165, -4786846.206468273 -2611171.293653865, -4786865.431344333 -2611230.6205445006, -4786875.917640366 -2611253.0010415562, -4786897.780788357 -2611294.7547000744, -4786919.053943048 -2611333.802981744, -4786928.46044002 -2611353.20033771)",,yes,,,,,,242.77841243143823,0.24277841243143822
321647005,True,,,residential,,34.977000000000004,"LINESTRING (-4786937.722221654 -2611369.5540416557, -4786947.050794982 -2611372.1629058276, -4786954.520332815 -2611373.5035723, -4786965.785865283 -2611373.733055761, -4786975.114438611 -2611372.2353742826)",Rua Francisco Campos,,,,,,,37.99131009550196,0.03799131009550196
981848514,True,2,RJ-104,trunk,60,54.442,"LINESTRING (-4786937.722221654 -2611369.5540416557, -4786952.049040119 -2611391.7173222285, -4786969.971478136 -2611419.1225317316)",,,,,,,,59.13606461109812,0.05913606461109812
1133877923,True,2,RJ-104,trunk,60,65.9,"LINESTRING (-4789242.770389714 -2614211.6014769403, -4789286.819512221 -2614268.0400964096)",,,,,,,,71.59359581145857,0.07159359581145858
